Day,Node,Demand
342,Brisbane,44.18645025900907
342,Melbourne,129.635
342,Sydney,172.915
343,APLNG,3794.77
343,Adelaide,39.356
343,Brisbane,42.227325452283395
343,Melbourne,152.714
343,Sydney,166.19299999999998
344,APLNG,3709.216
344,Adelaide,48.507
344,Brisbane,56.16680003672295
344,Melbourne,206.883
344,Sydney,193.086
345,APLNG,3702.628
345,Adelaide,47.895
345,Brisbane,57.74365658847776
345,Melbourne,228.991
345,Sydney,212.456
346,APLNG,3735.589
346,Adelaide,47.107
346,Brisbane,62.4616928583333
346,Melbourne,232.067
346,Sydney,222.826
347,APLNG,3689.883
347,Adelaide,54.331
347,Brisbane,59.88764882998442
347,Melbourne,204.871
347,Sydney,223.289
348,APLNG,3453.449
348,Adelaide,49.959
348,Brisbane,56.84438618539056
348,Melbourne,195.614
348,Sydney,219.133
349,APLNG,3503.271
349,Adelaide,38.246
349,Brisbane,50.83462788183225
349,Melbourne,184.844
349,Sydney,202.875
350,APLNG,3641.488
350,Adelaide,32.324
350,Brisbane,56.315633988453406
350,Melbourne,188.759
350,Sydney,204.227
351,APLNG,3591.378
351,Adelaide,45.94
351,Brisbane,70.13525807492054
351,Melbourne,243.408
351,Sydney,224.106
352,APLNG,3739.924
352,Adelaide,46.709
352,Brisbane,69.42555512614267
352,Melbourne,195.143
352,Sydney,211.639
353,APLNG,3564.459
353,Adelaide,44.319
353,Brisbane,87.03261161585596
353,Melbourne,182.493
353,Sydney,209.692
354,APLNG,3740.942
354,Adelaide,46.788
354,Brisbane,84.25176672826053
354,Melbourne,188.394
354,Sydney,179.235
355,APLNG,3608.165
355,Adelaide,45.507
355,Brisbane,83.2937460810692
355,Melbourne,189.797
355,Sydney,172.137
356,APLNG,3673.463
356,Adelaide,40.650000000000006
356,Brisbane,54.390192655014104
356,Melbourne,179.133
356,Sydney,165.822
357,APLNG,3812.332
357,Adelaide,37.306
357,Brisbane,55.172745906481104
357,Melbourne,156.577
357,Sydney,154.98700000000002
358,APLNG,3797.215
358,Adelaide,37.355
358,Brisbane,55.56598087368473
358,Melbourne,143.166
358,Sydney,157.804
359,APLNG,3826.361
359,Adelaide,31.41
359,Brisbane,51.49341395238655
359,Melbourne,129.489
359,Sydney,144.992
360,APLNG,3762.381
360,Adelaide,33.188
360,Brisbane,53.187770992349606
360,Melbourne,136.996
360,Sydney,147.766
361,APLNG,3781.477
361,Adelaide,37.678
361,Brisbane,58.38364258091873
361,Melbourne,181.948
361,Sydney,159.153
362,APLNG,3762.126
362,Adelaide,36.829
362,Brisbane,57.11072062532928
362,Melbourne,193.454
362,Sydney,157.68200000000002
363,APLNG,3752.661
363,Adelaide,33.803
363,Brisbane,52.59243518542777
363,Melbourne,149.41400000000002
363,Sydney,152.902
364,APLNG,3774.929
364,Adelaide,34.065
364,Brisbane,51.93286577828542
364,Melbourne,156.847
364,Sydney,154.066
365,APLNG,3726.871
365,Adelaide,36.5
365,Brisbane,74.50157621673938
365,Melbourne,162.33599999999998
365,Sydney,163.725
1,APLNG,3839.812
1,Adelaide,32.937
1,Brisbane,75.69694785011137
1,Melbourne,148.535
1,Sydney,154.356
2,APLNG,3831.52
2,Adelaide,40.365
